Timestamps,Acc_X_cleaned,Acc_Y_cleaned,Acc_Z_cleaned,Gyro_X_cleaned,Gyro_Y_cleaned,Gyro_Z_cleaned,Label,Gender,BMI,Duration
1717697548761000000,-1.2488380279500002,1.29093049625,9.8064523775,0.02855352625605,0.0115389607602,-0.00149048165105,1.0,M,0.5,8000000000.0
1717697548960000000,-1.34138307945,1.25080643465,9.64073199465,-0.0043056308402999,-0.0324905696445,0.0039951286048,1.0,M,0.5,8000000000.0
1717697548961000000,-1.34138307945,1.25080643465,9.64073199465,-0.0043056308402999,-0.0324905696445,0.0039951286048,1.0,M,0.5,8000000000.0
1717697549160000000,-1.39830970003,1.3748310242,9.531721184000002,-0.0210418567305,-0.00618665055595,0.0049533900803999,1.0,M,0.5,8000000000.0
1717697549161000000,-1.39830970003,1.3748310242,9.531721184000002,-0.0210418567305,-0.00618665055595,0.0049533900803999,1.0,M,0.5,8000000000.0
1717697549360000000,-1.052281768795,1.46948668671,7.0988678284,-0.4740719269845,0.0279451700882999,-0.030300499569995,1.0,M,0.5,8000000000.0
1717697549361000000,-1.052281768795,1.46948668671,7.0988678284,-0.4740719269845,0.0279451700882999,-0.030300499569995,1.0,M,0.5,8000000000.0
1717697549760000000,-0.987391708425,-4.2146131667,13.718252747,-0.2951782228475,0.2167711278375,0.0052972075721999,1.0,M,0.5,8000000000.0
1717697549761000000,-0.987391708425,-4.2146131667,13.718252747,-0.2951782228475,0.2167711278375,0.0052972075721999,1.0,M,0.5,8000000000.0
1717697549960000000,-2.4489897994000005,-3.58452843475,12.07292671945,0.4642152838449999,0.0157638821914999,0.0179928131624,1.0,M,0.5,8000000000.0
1717697549961000000,-2.4489897994000005,-3.58452843475,12.07292671945,0.4642152838449999,0.0157638821914999,0.0179928131624,1.0,M,0.5,8000000000.0
1717697550160000000,-1.0817531144263155,-0.9455127435157892,8.755285395473683,0.6694720795210527,-0.1793005957908421,0.0532237864856315,1.0,M,0.5,8000000000.0
1717697550161000000,-1.0817531144263155,-0.9455127435157892,8.755285395473683,0.6694720795210527,-0.1793005957908421,0.0532237864856315,1.0,M,0.5,8000000000.0
1717697550560000000,-0.7322772216615,-0.7018754425800001,8.9874679648,-0.8293269681895001,-0.02003552691,-0.0703776096412499,1.0,M,0.5,8000000000.0
1717697550561000000,-0.7322772216615,-0.7018754425800001,8.9874679648,-0.8293269681895001,-0.02003552691,-0.0703776096412499,1.0,M,0.5,8000000000.0
1717697550760000000,-1.17232463836,-4.37870194255,13.726590407,-0.2459371020969999,0.1448947309475,-0.0536546091989,1.0,M,0.5,8000000000.0
1717697550761000000,-1.17232463836,-4.37870194255,13.726590407,-0.2459371020969999,0.1448947309475,-0.0536546091989,1.0,M,0.5,8000000000.0
1717697550960000000,-1.9124754867000004,-3.16149314125,12.24057808655,0.44943892844,0.1426411162174499,0.0427553061627,1.0,M,0.5,8000000000.0
1717697550961000000,-1.9124754867000004,-3.16149314125,12.24057808655,0.44943892844,0.1426411162174499,0.0427553061627,1.0,M,0.5,8000000000.0
1717697551160000000,-1.4752721558500002,-0.7734341354694999,8.872409729000001,0.54578582049,-0.142095254545,0.13775116791485,1.0,M,0.5,8000000000.0
1717697551161000000,-1.4752721558500002,-0.7734341354694999,8.872409729000001,0.54578582049,-0.142095254545,0.13775116791485,1.0,M,0.5,8000000000.0
1717697551560000000,-1.3610486321436843,0.0828251326710526,9.06869418563158,-0.6553571859526315,-0.1971780821636841,-0.0256351312303684,1.0,M,0.5,8000000000.0
1717697551561000000,-1.3610486321436843,0.0828251326710526,9.06869418563158,-0.6553571859526315,-0.1971780821636841,-0.0256351312303684,1.0,M,0.5,8000000000.0
1717697551760000000,-1.01572029872,-4.249984611474999,12.4698937225,-0.41467838319815,0.148136379984,-0.030573264041,1.0,M,0.5,8000000000.0
1717697551761000000,-1.01572029872,-4.249984611474999,12.4698937225,-0.41467838319815,0.148136379984,-0.030573264041,1.0,M,0.5,8000000000.0
1717697551960000000,-2.2934332809500004,-3.4656980439,13.0816191325,0.264169589809,0.1691510261338,0.1095123951392499,1.0,M,0.5,8000000000.0
1717697551961000000,-2.2934332809500004,-3.4656980439,13.0816191325,0.264169589809,0.1691510261338,0.1095123951392499,1.0,M,0.5,8000000000.0
1717697552160000000,-1.2486509169949995,-2.00241595471,9.774740821499998,0.5107171535499999,-0.2116386011229999,-0.0338387822969,1.0,M,0.5,8000000000.0
1717697552161000000,-1.2486509169949995,-2.00241595471,9.774740821499998,0.5107171535499999,-0.2116386011229999,-0.0338387822969,1.0,M,0.5,8000000000.0
1717697552360000000,-0.5261334000055,0.42040077202,5.895228309649999,0.4418838456295,-0.04626195691455,0.08710135968605,1.0,M,0.5,8000000000.0
1717697552361000000,-0.5261334000055,0.42040077202,5.895228309649999,0.4418838456295,-0.04626195691455,0.08710135968605,1.0,M,0.5,8000000000.0
1717697552560000000,-0.5770575027675001,0.64731390385,6.3043275833,-0.51684495953,0.0836849069124999,-0.096499700762825,1.0,M,0.5,8000000000.0
1717697552561000000,-0.5770575027675001,0.64731390385,6.3043275833,-0.51684495953,0.0836849069124999,-0.096499700762825,1.0,M,0.5,8000000000.0
1717697552760000000,-1.788720336925,-2.618100631693,11.0237509915,-0.744319927675,0.221964040867,-0.0065302921365,1.0,M,0.5,8000000000.0
1717697552761000000,-1.788720336925,-2.618100631693,11.0237509915,-0.744319927675,0.221964040867,-0.0065302921365,1.0,M,0.5,8000000000.0
1717697552960000000,-2.185352903578948,-4.2212376805263165,13.108721852105264,-0.0247299944626315,-0.0064328909882105,0.0338410635947368,1.0,M,0.5,8000000000.0
1717697552961000000,-2.185352903578948,-4.2212376805263165,13.108721852105264,-0.0247299944626315,-0.0064328909882105,0.0338410635947368,1.0,M,0.5,8000000000.0
1717697553160000000,-2.449169426049999,-2.8375892029,11.010249069,0.4194032005899999,0.167816267811,0.1177715464251,1.0,M,0.5,8000000000.0
1717697553161000000,-2.449169426049999,-2.8375892029,11.010249069,0.4194032005899999,0.167816267811,0.1177715464251,1.0,M,0.5,8000000000.0
1717697553360000000,-1.64512394715,-1.3682671737849998,9.2310788727,0.60328654497,-0.1710263450616999,0.02858299138025,1.0,M,0.5,8000000000.0
1717697553361000000,-1.64512394715,-1.3682671737849998,9.2310788727,0.60328654497,-0.1710263450616999,0.02858299138025,1.0,M,0.5,8000000000.0
1717697553760000000,-1.591131225645,-0.2630554733381499,9.16357674365,-0.5768493711989999,0.0087917627724999,-0.0218143135325,1.0,M,0.5,8000000000.0
1717697553761000000,-1.591131225645,-0.2630554733381499,9.16357674365,-0.5768493711989999,0.0087917627724999,-0.0218143135325,1.0,M,0.5,8000000000.0
1717697553960000000,-2.141506713835001,-3.0876292419,10.65930386385,-0.5235846474800001,-0.0006125655059999,-0.053908069846,1.0,M,0.5,8000000000.0
1717697553961000000,-2.141506713835001,-3.0876292419,10.65930386385,-0.5235846474800001,-0.0006125655059999,-0.053908069846,1.0,M,0.5,8000000000.0
1717697554160000000,-1.78111614992,-4.3611060333500005,12.8871285785,0.1479309540295,0.0809016120852499,0.0502333540265999,1.0,M,0.5,8000000000.0
1717697554161000000,-1.78111614992,-4.3611060333500005,12.8871285785,0.1479309540295,0.0809016120852499,0.0502333540265999,1.0,M,0.5,8000000000.0
